Particulars,"For the period ended
September 30,2025","For the year ended
March 31, 2025","For the year ended
March 31, 2024","For the year ended
March 31, 2023"
"Liability at the beginning of the year
Interest cost
Current service cost
Past service cost
Liability transferred in/acquisitions
Liability transferred out/divestments
Benefit paid from the fund
Actuarial (gains) and loss arising from changes in demographic assumptions
Actuarial (gains) and loss arising from changes in financial assumptions
Actuarial (gains) and loss arising from experience adjustments","78.44
2.49
4.07
-
-
-
(3.73)
(0.04)
1 .13
2 .27","56.90
4.09
6.06
-
-
-
(6.12)
1 .14
1 1.47
4 .91","49.59
3.65
5.42
-
-
-
(4.09)
-
0.49
1.84","47.53
3.19
5.46
-
-
-
(7.28)
0 .46
(1.77)
2 .02"
Liability at the end of the period/ year,84.63,78.44,56.90,49.59
