Class of Assets,Gross Block,,,,Accumulated Depreciation,,,,Net Block
,"As at
April 1, 2022",Additions,Deductions,"As at
March 31, 2023","Upto
April 1, 2022",For the year,On deductions,"Upto
March 31, 2023","As at
March 31, 2023"
Freehold Land,27.40,11.77,-,39.17,-,-,-,-,39.17
Factory Buildings,580.07,30.36,-,610.43,230.96,40.24,-,271.20,339.23
Factory Equipment,13.70,0.60,-,14.30,8.74,2.17,-,10.91,3.39
Plant & Machinery,"1,074.51",117.47,12.10,"1,179.88",634.98,116.35,9.67,741.66,438.22
Laboratory Equipment,73.37,3.06,-,76.43,45.35,7.44,-,52.79,23.64
Electrical Installation,94.26,7.46,0.80,100.92,59.16,9.56,0.67,68.05,32.87
Office Equipments,21.65,3.68,-,25.33,14.32,3.75,-,18.07,7.26
Office Building,29.76,0.00,-,29.76,7.65,1.07,-,8.72,21.04
Computers,18.11,2.45,0.16,20.40,9.79,5.20,0.15,14.84,5.56
Furniture & Fixtures,45.12,4.58,0.89,48.81,25.01,6.02,0.71,30.32,18.49
Vehicles,27.32,15.04,0.69,41.67,12.25,7.64,0.61,19.28,22.39
Total,"2,005.27",196.47,14.64,"2,187.10","1,048.21",199.44,11.81,"1,235.84",951.26
