Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Statutory Remittances
Advances from Customers","2 2.54
1 30.89","55.40
395.00","46.84
283.76","43.96
226.96"
Total,1 53.43,450.40,330.60,270.92
