Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Current
Acceptances*
Other trade Payable
Total Outstanding dues of Micro Enterprises and Small Enterprises (Refer Note 41)
Total Outstanding dues of creditors other than Micro Enterprises and Small Enterprises","181.74
84.53
4,548.62","171.67
90.39
3,174.22","148.81
68.18
2,110.74","246.50
63.24
3,206.33"
Total,"4 ,814.89","3,436.28","2,327.73","3,516.07"
Trade Payable to Related parties (refer note 39),1.38,20.21,19.94,32.52
