Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Less than one year
One to five years
More than five years","5.28
14.75
4.93","3.48
9.51
4.75","3.12
11.87
-","-
-
-"
Total,24.96,17.74,14.99,-
Less: Amounts Representing finance charges,7.08,5.95,3.00,-
Present Value of Lease Payments,17.88,11.79,11.99,-
