Name of Shareholder,Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Kenal Vrajmohan Shah (HUF),No.of Shares,-,-,-,-
,% of Total Shares,-,-,-,-
,%Change During the period/ year,-,-,-,-1.77%
Kenal Vrajmohan Shah,No.of Shares,-,-,-,-
,% of Total Shares,-,-,-,-
,%Change During the period/ year,-,-,-,-19.90%
Bhavesh Vrajmohan Shah (HUF),No.of Shares,-,-,-,-
,% of Total Shares,-,-,-,-
,%Change During the period/ year,-,-,-,-1.77%
Tirth Shah #,No.of Shares,"2 0,05,800","2 0,05,800","1 ,33,220","1 ,33,220"
,% of Total Shares,5.14%,5.14%,5.12%,4.85%
,%Change During the period/ year,0.00%,0.02%,0.27%,0.33%
Athena Trust #,No.of Shares,"7 3,500","7 3,500","4 ,900","4 ,900"
,% of Total Shares,0.19%,0.19%,0.19%,0.18%
,%Change During the period/ year,0.00%,0.00%,0.01%,0.18%
Beta Trust #,No.of Shares,"8 ,40,375","8 ,40,375","5 6,025","5 6,025"
,% of Total Shares,2.15%,2.15%,2.15%,2.04%
,%Change During the period/ year,0.00%,0.00%,0.12%,2.04%
Kappa Trust #,No.of Shares,"1 ,04,23,875","1 ,04,23,875","6 ,26,670","6 ,26,670"
,% of Total Shares,26.71%,26.71%,24.09%,22.80%
,%Change During the period/ year,0.00%,2.62%,1.29%,22.80%
Shard Trust #,No.of Shares,"7 3,500","7 3,500","4 ,900","4 ,900"
,% of Total Shares,0.19%,0.19%,0.19%,0.18%
,%Change During the period/ year,0.00%,0.00%,0.01%,0.18%
Monakhos Trust #,No.of Shares,"1 ,500","1 ,500",1 00,1 00
,% of Total Shares,0.00%,0.00%,0.00%,0.00%
,%Change During the period/ year,0.00%,0.00%,0.00%,0.00%
Stamford Trust #,No.of Shares,"1 9,98,300","1 9,98,300","6 8,155","6 8,155"
,% of Total Shares,5.12%,5.12%,2.62%,2.48%
,%Change During the period/ year,0.00%,2.50%,0.14%,2.48%
Alpha Trust #,No.of Shares,"4 8,40,575","4 8,25,575","4 ,55,025",-
,% of Total Shares,12.41%,12.37%,17.49%,0.00%
,%Change During the period/ year,0.04%,-5.13%,100.00%,0.00%
Pujan Shah #,No.of Shares,"1 ,500","1 ,500",1 00,1 00
,% of Total Shares,0.00%,0.00%,0.00%,0.00%
,%Change During the period/ year,0.00%,0.00%,0.00%,0.00%
Nikhil C Shah #,No.of Shares,"2 2,500","2 2,500","1 ,500","1 ,500"
,% of Total Shares,0.06%,0.06%,0.00%,0.00%
,%Change During the period/ year,0.00%,0.00%,0.00%,0.00%
