Particulars,"For the period ended
September 30, 2025","For the year ended
March 31, 2025","For the year ended
March 31, 2024","For the year ended
March 31, 2023"
"Interest income
Bank deposits
Loans and others
Other interest income
Other non-operating income
Profit on sale of Property, plant and equipment
Profit on sale of investment
Net Gain on Investments measured at fair value through profit or loss
Profit on sale of Business (refer note 45)
Net gain on foreign currency transaction and translation
Sale of power
Liabilities no longer required written back
Miscellaneous income","4.37
12.85
-
1.46
0.05
6.58
-
-
-
0.03
7.83","9.61
29.01
-
0.06
1.78
5.44
-
27.27
0.37
24.35
38.82","15.23
1.00
0.11
-
-
2.19
0.28
23.86
1.62
5.74
10.64","6.74
0.35
-
-
-
1.35
-
-
-
11.55
7.39"
Total,33.17,136.71,60.67,27.38
