Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"(i) Principal amount and the interest due thereon remaining unpaid to each supplier at the end
of each accounting period/ year (but within due date as per the MSMED Act)",,,,
- Principal amount due to micro and small enterprise*,85.42,97.28,68.96,63.24
- Interest due on above,-,-,-,-
"(ii)InterestpaidbytheGroupintermsofSection16oftheMicro,SmallandMedium
EnterprisesDevelopmentAct,2006,along-withtheamountofthepaymentmadetothe
supplier beyond the appointed day during the period",-,0.31,0.03,0.09
"(iii)Interestdueandpayablefortheperiodofdelayinmakingpayment(whichhavebeen
paidbutbeyondtheappointeddayduringtheperiod)butwithoutaddinginterestspecified
under the Micro, Small and Medium Enterprises Act, 2006",-,-,0.03,0.08
"(iv)Interestremainingdueandpayableeveninthesucceedingyears,untilsuchdatewhen
the interest dues as above are actually paid to the small enterprises",-,-,-,-
"(v)Theamountoffurtherinterestremainingdueandpayableeveninthesucceedingyears,
untilsuchdatewhentheinterestduesaboveareactuallypaidtothesmallenterprise,forthe
purpose of disallowance of a deductible expenditure under Section 23 of the MSMED Act.",-,-,-,-
