Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Balance at the beginning of the year
Additions during the period/ year
Deletions/cancellation/modification during the period/ year
Finance cost accrued during the period/ year (refer note 32)
Payment of lease liabilities","11.79
7.42
-
0 .75
( 2.08)","11.99
1.71
-
1 .20
( 3.11)","-
13.00
-
0 .80
( 1.81)","-
-
-
-
-"
Balance at the end of the period/ year,17.88,11.79,11.99,-
