Particulars,"For the period ended
September 30,2025","For the year ended
March 31, 2025","For the year ended
March 31, 2024","For the year ended
March 31, 2023"
"Expected Return on Plan Assets
Actuarial (gains) and loss arising from changes in demographic assumptions
Actuarial (gains) and loss arising from changes in financial assumptions
Actuarial (gains) and loss arising from experience adjustments","0 .69
(0.04)
1 .13
2 .27","(0.12)
1 .14
1 1.47
4 .91","(0.43)
-
0.50
1.83","(0.31)
0 .46
(1.77)
2 .02"
Expenses Recognized in the Other Comprehensive Income (OCI):,4 .05,1 7.40,1.90,0 .39
