Particulars,"For the period ended
September 30, 2025","For the year ended
March 31, 2025","For the year ended
March 31, 2024","For the year ended
March 31, 2023"
"Salaries, wages and bonus
Contribution to provident fund & other funds (refer note 35)
Staff welfare expenses","482.35
24.59
24.63","875.90
40.67
45.93","735.46
32.08
37.15","566.86
37.60
33.58"
Total,531.57,962.50,804.69,638.04
