Particulars,"For the period ended
September 30,2025","For the year ended
March 31, 2025","For the year ended
March 31, 2024","For the year ended
March 31, 2023"
"Opening Net Liability
(Income) / Expenses in Statement of Profit & Loss
(Income) / Expenses recognised in OCI
Net Liability/(Asset) Transfer In
Net (Liability)/Asset Transfer Out
Benefit Paid Directly by the Employer
Employers Contribution","33.47
6.56
4.05
-
-
-
-","9.34
6.74
17.40
-
-
(0.01)
-","7.50
5.97
1.90
-
-
(0.03)
(6.00)","12.33
6.29
0.39
-
-
-
( 11.51)"
Net Liability/(Asset) Recognized in the Balance Sheet,44.08,33.47,9.34,7.50
