Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Balance at the beginning of the period / year
Changes in equity share capital during the period/year (Refer Note 18f)","390.19
-","2 60.13
1 30.06","2 74.80
( 14.67)","2 94.80
( 20.00)"
Balance at the end of the peirod/ year,390.19,390.19,260.13,274.80
