Particulars,"Six months ended
September 30, 2025","Fiscal ended March 31,",,
,,2025,2024,2023
Continuing Operations,,,,
"Restated Profit for the period / year from
Continuing Operations (I)",810.65,814.20,555.40,175.73
Adjustments:,,,,
"Add: Total Tax Expenses of Continuing Operations
(II)",266.87,282.61,210.16,57.50
Add: Finance cost (III),172.96,309.39,339.91,369.53
Add: Depreciation & amortization expenses (IV),138.08,234.13,198.58,210.06
"Earnings Before Interest, Tax, Depreciation and
Amortization (EBITDA) (V = I + II + III + IV)","1,388.56","1,640.33","1,304.05",812.82
Revenue from Operations (VI),"8,442.91","12,873.85","11,521.61","12,033.09"
EBITDA Margin (VII = V/VI),16.45%,12.74%,11.32%,6.75%
