Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Secured Loans
Term Loans from Banks (Refer Note No. (i) to (iv) below)
Less: Current maturities of Term Loans from Banks","2 94.31
1 60.51","384.05
179.53","213.33
79.68","270.81
57.48"
"Term Loans from Non-Banking Financial Companies (Refer Note No. (v) to (vii) below)
Less: Current maturities of Term Loans from Non-Banking Financial Companies","1 33.80
6 28.58
1 49.78","204.52
656.23
100.51","133.65
566.76
156.47","213.33
1,003.29
245.69"
"Vehicle Loans from Banks (Refer Note No. (viii) below)
Less: Current maturities of Vehicle Loans from Banks","4 78.80
3 .79
2 .01","555.72
5.06
2.27","410.29
7.84
2.74","757.60
11.24
3.46"
"Vehicle Loans from Non-Banking Financial Companies (Refer Note No. (viii) below)
Less: Current maturities of Vehicle Loans from Non-Banking Financial Companies","1 .78
1 .39
1 .39","2.79
2.38
1.55","5.10
4.43
1.92","7.78
7.15
2.51"
,-,0.83,2.51,4.64
Total,6 14.38,763.86,551.55,983.35
