Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Investment in Mutual Fund - measured at Fair Value through Profit and Loss Account (quoted)
BB RF LP Corp Bancos (No. of units: 4,87,000.71) (March 31, 2025: 449,231.76 unit) (March 31, 2024: Nil) (March 31,
2023: Nil)
RF CP Agile Company of (Nil) (March 31, 2025: 8,517.75 units) (March 31, 2024: Nil) (March 31, 2023: Nil)","2 4.57
-","19.73
0.13","-
-","-
-"
Total,2 4.57,19.86,-,-
"Aggregate amount of quoted investments - At Cost
Aggregate amount of quoted investments - At Market value","2 4.37
2 4.57","1 9.70
1 9.86","-
-","-
-"
