"Name of the
Company",Relationship,"Country of
Incorporation","As at
September
30, 2025","As at
March
31, 2025","As at
March
31, 2024","As at
March
31, 2023"
"Omnitech Group,
Inc.",Subsidiary,"United States of
America",100%,100%,100%,100%
"Novatro
Techsolutions
Private Limited",Subsidiary,India,75.99%,75.99%,-,-
