Particulars,Amount
"Balance as at March 31, 2023
Current
Non-current","-
-"
Total,-
"Balance as at March 31, 2024
Current
Non-current","-
-"
Total,-
"Balance as at March 31, 2025
Current
Non-current","0.64
2.01"
Total,2.65
"Balance as at September 30, 2025
Current
Non-current","6.63
1 8.89"
Total,25.52
