Particulars,,,,Six months period ende,,,,"d
,",Fiscal,,,,,,,,
,,,,September 30,,,,,,,,,,,,,
,,,,202,5,,202,4,,202,5,,202,4,,202,3
,Adjusted EBITDA – Marketplace,,,"(5,191.33",),,64.5,0,,"(1,166.65",),,"(1,491.61",),,"(15,989.90",)
,% of NMV – Marketplace,,,(2.70%,),,0.05%,,,(0.39%,),,(0.64%,),,(8.31%,)
,"Add: Employee benefit expense, not",,"2,648.75",,,"2,094.55",,,"4,394.38",,,"4,361.57",,,"5,523.10",,
,directly attributable to Placed Orders,,,,,,,,,,,,,,,,
,"Add: Other expenses, not directly",,"9,875.58",,,"5,573.94",,,"11,608.77",,,"10,161.99",,,"16,125.43",,
,attributable to Placed Orders,,,,,,,,,,,,,,,,
,Contribution Margin – Marketplace,,,"7,333.0",0,,"7,732.9",9,,"14,836.5",0,,"13,031.9",5,,"5,658.6",3
,% of NMV – Marketplace,,,3.82%,,,5.81%,,,4.95%,,,5.61%,,,2.94%,
