Particulars,"As at
September
30, 2025","As at
September
30, 2024","As at
March 31,
2025","As at
March 31,
2024","As at
March 31,
2023"
Employee benefit expense:,,,,,
Current service cost,29.5,30.5,51.6,45.8,42.9
Total,29.5,30.5,51.6,45.8,42.9
Finance costs,1.9,9.6,4.8,2.5,(0.2)
Net impact on the profit before tax,31.4,40.1,56.4,48.3,42.7
Remeasurements of the net defined benefit liability:,,,,,
"Actuarial gains/(losses) arising from Changes in
financial assumption",10.1,7.0,14.0,6.7,(20.4)
"Actuarial gains/(losses) arising from changes in
demographic assumptions",-,(4.0),(8.0),(2.9),-
"Actuarial gains/(losses) arising from changes actual
return on plan assets less interest on plan asset",(30.5),3.7,7.4,(2.0),(4.4)
"Actuarial gains/(losses) arising from changes in
experience",73.2,21.5,43.0,31.0,29.9
"Net impact on the other comprehensive income
before tax",52.8,28.2,56.4,32.8,5.1
