Particulars,"Pre-Offer as at September 30, 2025",As adjusted for the Offer6
Borrowings,,Refer notes below
Non-current borrowings1,-,
Current borrowings2,-,
Total borrowings (A),-,
Equity,,
Equity share capital (B)3,176.5,
Instruments entirely equity in nature (C)4,-,
Other equity (D)5,"39,039.1",
Total Equity (E = B + C + D),"39,215.6",
Ratio: Non-current borrowings/Total equity,-,
Ratio: Total borrowings/Total equity (A/E),-,
