Particulars,"As at
September 30,
2025","As at
September 30,
2024","As at
March 31,
2025","As at
March 31,
2024","As at
March 31,
2023"
Receivable Considered good - Unsecured,"1,461.1","1,238.8","2,134.1","1,753.4","1,029.6"
"Receivable from related parties considered good -
Unsecured",2 57.1,269.3,2 37.8,2 04.8,93.3
Total,"1,718.2","1,508.1","2,371.9","1,958.2","1,122.9"
