"Shares held by promoters at the end of the period September 30, 2025",,,"% Change during
the period"
Promoter name,No. of Shares,% of total shares,
ICICI Bank Limited,"9 ,00,25,730",51%,-
Prudential Corporation Holdings Limited,"8 ,64,95,170",49%,-
Total,"17,65,20,900",100%,
