"Intangible assets under
development ageing schedule As
at September 30, 2025","Amount in Intangible Assets under Development for
a period of",,,,Total
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
Projects in progress,38.3,2.6,-,-,40.9
Projects temporarily suspended,-,-,-,-,-
