Particulars,"As at
September 30,
2025","As at
September 30,
2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Statutory dues payable,"1,011.5",865.2,992.0,785.7,659.6
Deferred Revenue,1 0.3,22.6,16.3,28.6,35.9
Total,"1,021.8",887.8,"1,008.3",814.3,695.5
