Particulars,"As at March 31, 2025",,
,"Present value of
obligation","Fair value of plan
asset",Net amount
Opening Balance,476.1,395.0,81.1
Current service cost,51.6,-,51.6
Interest on asset,28.9,24.1,4 .8
Total amount recognised in Profit and Loss,80.5,24.1,56.4
"Return on plan assets, excluding amounts included in interest
expense/(income)",-,(7.4),7 .4
(Gain)/loss from change in demographic assumptions,( 8.0),-,( 8.0)
(Gain)/loss from change in financial assumptions,1 4.0,-,1 4.0
(Gain)/loss on account of experience changes,4 3.0,-,4 3.0
Total amount recognised in Other Comprehensive Income,4 9.0,( 7.4),5 6.4
Employer Contributions,-,81.1,(81.1)
Benefit Payments,(53.0),(53.0),-
Liabilities assumed/Asset acquired,0.0,0.0,-
Closing Balance,552.6,439.8,112.8
