Particulars,"As at
September
30, 2025","As at
September
30, 2024","As at
March 31,
2025","As at
March 31,
2024","As at
March 31,
2023"
Present value of plan liabilities,664.3,510.2,552.6,476.1,4 22.5
Less : Fair value of plan assets,580.3,441.9,439.8,395.0,3 74.7
Plan liability net of plan assets,84.0,68.3,1 12.8,8 1.1,47.8
