Category of assets,"As at
September
30, 2025","As at
September
30, 2024","As at
March 31,
2025","As at
March 31,
2024","As at
March 31,
2023"
- Insurer managed funds,5 80.3,4 41.9,4 39.8,3 95.0,374.7
Total,580.3,441.9,439.8,395.0,374.7
