Particulars,"As at
September 30,
2025","As at
September 30,
2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Advance Tax, Tax deducted at source
[Net of provision for tax (September 30, 2025 - ₹
23,816.2 , September 30, 2024 - ₹ 15,125.5, March
31,2025 - ₹ 15,125.5, March 31, 2024 - ₹ 8,985.4,
March 31, 2023 - ₹ 8,985.4)]",7 6.0,6 9.9,6 8.3,4 9.3,4 4.2
Total,76.0,69.9,68.3,49.3,44.2
