Particulars,,"As of March 31, 2025",,,,,,"As of March 31, 2024",,,,
,,Annual AAUM,,,% of Total Annual,,,Annual AAUM,,,% of Total Annual,
,,(₹ in billion),,,AAUM,,,(₹ in billion),,,AAUM,
Equity and Equity Oriented Schemes,"4,666.4",,,51.8%,,,"3,156.4",,,48.8%,,
Debt,"1,676.4",,,18.6%,,,"1,486.6",,,23.0%,,
ETFs and Index,"1,135.2",,,12.6%,,,663.7,,,10.3%,,
Arbitrage,235.1,,,2.6%,,,138.1,,,2.1%,,
Liquid and Overnight Schemes,640.1,,,7.1%,,,580.6,,,9.0%,,
Mutual Fund AAUM,"8,353.3",,,92.7%,,,"6,025.3",,,93.2%,,
PMS,203.4,,,2.3%,,,89.9,,,1.4%,,
AIF,106.5,,,1.2%,,,82.5,,,1.3%,,
Advisory Assets,351.2,,,3.9%,,,265.9,,,4.1%,,
Alternates AAUM,661.2,,,7.3%,,,438.3,,,6.8%,,
Total Annual AAUM,"9,014.4",,,100.0%,,,"6,463.6",,,100.0%,,
