Particulars,Number of Shares,Amount
"As at April 1, 2022 (Face Value ₹ 10)","1 ,76,52,090",176.5
Change during the year,-,-
"As at March 31, 2023 (Face Value ₹ 10)","1 ,76,52,090",176.5
"As at April 1, 2023 (Face Value ₹ 10)","1 ,76,52,090",176.5
Change during the year,-,-
"As at March 31, 2024 (Face Value ₹ 10)","1 ,76,52,090",176.5
"As at April 1, 2024 (Face Value ₹ 10)","1 ,76,52,090",176.5
Change during the Period,-,-
"As at September 30, 2024 (Face Value ₹ 10)","1 ,76,52,090",176.5
"As at April 01, 2024 (Face Value ₹ 10)","1 ,76,52,090",176.5
Change during the year,-,-
"As at March 31, 2025 (Face Value ₹ 10)","1 ,76,52,090",176.5
"As at April 01, 2025 (Face Value ₹ 10)","1 ,76,52,090",176.5
Change during the period,-,
Split of shares into Face value of ₹ 1 each#,"1 5,88,68,810",-
"As at September 30, 2025 (Face Value ₹ 1)","1 7,65,20,900",176.5
