Particulars,"As at
September
30, 2025","As at
September
30, 2024","As at
March 31,
2025","As at
March 31,
2024","As at
March 31,
2023"
Discount rate,6.00%,6.75%,6.50%,7.15%,7.30%
Salary escalation rate*,8.18%,7.97%,8.18%,7.97%,7.68%
