Particulars,"September 30,
2025","September 30,
2024","March 31, 2025","March 31, 2024","March 31, 2023"
Depreciation charge of right of use assets,,,,,
Buildings,204.6,1 87.7,387.8,330.8,271.3
Total (refer note 28),204.6,1 87.7,3 87.8,330.8,2 71.3
