Particulars,"As at
September 30,
2025","As at
September 30,
2024","As at
March 31,
2025","As at
March 31,
2024","As at
March 31,
2023"
"Fixed deposit with Bank (Security against
Performance bank guarantee)",1 30.2,120.9,1 25.7,1 07.0,-
Total,130.2,120.9,125.7,107.0,-
