Particulars,"For the Period
ended September
30, 2025","For the Period
ended
September 30,
2024","For the year
ended March
31, 2025","For the year
ended March
31, 2024","For the year
ended March
31, 2023"
Basic & Diluted earnings per share,,,,,
Net profit after tax available for equity shareholders(A),"16,177.4","13,271.1","26,506.6","20,497.3","15,157.8"
"Weighted average number of equity shares outstanding
for basic and diluted EPS (i) (in million)*",176.5,176.5,176.5,176.5,176.5
Bonus Shares issued (ii) (in million),317.7,317.7,317.7,317.7,317.7
"Number of equity shares considered for computation of
Basic EPS (B) = (i+ii) (refer note 43)",494.3,494.3,494.3,494.3,494.3
Basic and Diluted earnings per share (`) (A) / (B)#,32.7,26.9,53.6,41.5,30.7
Nominal value per share (`),1.0,1.0,1.0,1.0,1.0
