Particulars,"As at
September 30,
2025","As at
September 30,
2024","As at
March 31,
2025","As at
March 31,
2024","As at
March 31,
2023"
Trade payables,"1,843.4","1,389.2","1,591.9","1,090.5",718.0
Trade payable to related parties,1 58.7,156.0,161.6,125.2,128.2
Total,"2,002.1","1,545.2","1,753.5","1,215.7",846.2
