Particulars,"As/at for the per i o d
ended Septembe r 3 0 ,
2025","As/at for the y e a r
ended March 3 1 ,
2025","As/at for the y e a r
ended Marc h 3 1 ,
2024","As/at for the year
ended March 31,
2023"
Total assets,1242.06,861.19,237.94,--
Total revenue,323.67,660.10,39.29,--
