Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",0,0,0,-,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Investment in equity shares of subsidiary company,-,-,-,138,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA",Revenue from operation,11,13,23,46,16
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA",Cost of delivery,0,1,1,2,1
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA",Inter-company loan taken(Liability),-,-,-,66,16
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,-,-,66,16
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA",Interest expense,-,-,-,1,0
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",-,12,17,-,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",41,27,61,78,73
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA",Issue of compulsory redeemable preference share,86,209,209,472,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"4i Consulting, Inc","Expenses incurred for the company to(creating payable
position)",-,-,-,-,1
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Cost of delivery,310,189,399,310,239
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Revenue from operation,7,-,12,-,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Deemed Investment in subsidiary company,1,0,1,1,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Revenue from operation,42,13,50,23,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Cost of delivery,22,1,8,4,1
Asper.AI Inc (Formerly known as Samya.AI Inc),Mohit Agarwal,Equity Share Capital (Liability),-,-,-,-,14
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,-,1,-,-
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Fractal Analytics Inc, USA",Revenue from operation,-,-,-,0,-
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Revenue from operation,22,1,8,3,1
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Cost of delivery,42,13,50,23,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Allocation of shared expenses incurred by the holding
company (creating payable position)",-,2,-,10,6
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Revenue from operation,4,2,6,13,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Passthrough revenue,1,7,-,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter-company loan taken(Liability),29,53,97,120,116
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest expense,7,11,22,14,4
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",19,1,1,5,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",3,3,7,7,14
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Sale of business under business transfer arrangement,-,0,0,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Sundry balance written Back,-,-,33,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Inc, USA",Revenue from operation,-,-,-,-,4
Senseforth AI Research Private Limited,"Fractal Analytics Inc, USA",Service revenue reversal (expense),-,-,-,1,-
Senseforth AI Research Private Limited,"Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",4,8,14,-,-
Senseforth AI Research Private Limited,"Fractal Analytics UK Limited, UK",Revenue from operation,-,-,-,4,-
