Name of the Entity,Name of the Counterparty,Nature of Closing Balances,"Period ended
September 30, 2025","Period ended
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA",Credit liabilities from financial guarantees,27,48,37,55,80
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA",Guarantee commission receivable,29,63,39,132,125
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA",Deemed Investment in subsidiary company,999,823,947,654,390
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables","5,741","6,754","7,882","5,888","5,691"
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA",Trade and other payables,186,63,98,62,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA",Investments in equity instruments in subsidiary (assets),"4,285","3,426","4,285","3,426","3,426"
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Private Limited, Singapore",Deemed Investment in subsidiary company,2,0,2,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Private Limited, Singapore","Trade and other receivables including unbilled
receivables",0,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Private Limited, Singapore",Trade and other payables,1,-,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Private Limited, Singapore",Investments in equity instruments in subsidiary (assets),3,3,3,3,3
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,"Provision for Impairment of trade, unbilled and other
receivables",-,-,-,-,365
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,Inter-corporate loan/advances given,-,-,-,-,254
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,Interest receivable,-,-,-,-,33
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,"Trade and other receivables including unbilled
receivables",-,19,17,17,157
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,Trade and other payables,-,0,-,0,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,Investments in equity instruments in subsidiary (assets),-,7,7,7,165
