"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024"
"1 6,356
4,659
8,639","1 4,556
4,969
4,906","1 5,857
5,019
7,700","1 2,714
5 ,143
6 ,063"
"2 9,654","2 4,431","2 8,576","2 3,920"
"4,596
1,054
4,226","4,890
276
3,706","5,553
1 ,079
4,290","5 ,910
1 78
3 ,633"
"9 ,876","8 ,872","1 0,922","9 ,721"
"1,048
83
27","1 58
5 1
7 7","7 64
1 20
7 71","4 62
9 1
9 56"
"1 ,158",2 86,"1 ,655","1 ,509"
"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024"
"4 ,574
1 8
3 ,379
2","3 ,948
1 6
2 ,408
0","4 ,174
7
3 ,048
1","4 ,068
1 9
2 ,439
0"
"7 ,973","6 ,372","7 ,230","6 ,526"
