"September 30, 2025","September 30, 2024","March 31, 2025","March 31, 2024"
"580
( 1)
20
50
649","396
( 2)
14
-
408","396
( 2)
28
158
580","311
( 1)
23
63
396"
"September 30, 2025","September 30, 2024","March 31, 2025","March 31, 2024"
"834
( 649)
185
145
40","680
( 408)
272
245
27","769
( 580)
189
159
30","585
(396)
189
1 57
3 2"
"September 30, 2025","September 30, 2024","March 31, 2025","March 31, 2024"
"112
6
118
106
12","83
7
90
87
3","192
14
206
196
10","181
8
189
179
10"
"September 30, 2025","September 30, 2024","March 31, 2025","March 31, 2024"
"( 39)
-
( 12)
0
( 51)
( 51)
0","25
0
( 19)
2
8
9
( 1)","36
( 20)
( 34)
2
( 16)
( 15)
( 1)","( 26)
1
1
1
( 23)
( 18)
( 5)"
"September 30, 2025","September 30, 2024","March 31, 2025","March 31, 2024"
"16
92
172
3,597","10
67
117
2,912","1 5
8 3
1 74
3 ,234","9
6 2
1 08
2 ,782"
