"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024"
"1,102
382","865
220","1,272
356","913
218"
"1,484","1,085","1,628","1,131"
"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024"
"1,628
27
88
(14)
9
( 254)","1,131
73
54
-
1
( 174)","1,131
743
121
(1)
5
( 371)","516
885
41
(2)
4
( 313)"
"1,484","1,085","1,628","1,131"
"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024"
"507
1,253
-","314
1,020
-","500
1,503
-","317
1,084
-"
"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024"
"64
-
-
2","79
15
-
1","79
15
(33)
3","12
0
67
-"
66,95,64,79
"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024"
"2
(2)","4
(4)","2
( 2)","3
( 3)"
"September 30, 2025","September 30, 2024","March 31, 2025","March 31, 2024"
"123
(18)
(0)
105","100
(1)
-
99","100
23
0
123","66
34
0
100"
"September 30, 2025","September 30, 2024","March 31, 2025","March 31, 2024"
"209
( 209)
26
( 26)
( 0)
0
4
( 4)","286
( 286)
29
( 29)
1
( 1)
3
( 3)","299
(299)
18
(18)
1
(1)
2
(2)","2 22
(222)
26
(26)
1
(1)
4
(4)"
"September 30, 2025","September 30, 2024","March 31, 2025","March 31, 2024"
"(21)
21","(20)
20","(20)
20","(20)
20"
"September 30, 2025","September 30, 2024","March 31, 2025","March 31, 2024"
"2,746
( 1,102)
( 128)
1,516
19,795
0.08","2,622
( 1,402)
( 163)
1,057
15,559
0.07","2,662
(2,649)
(243)
(230)
17,654
-","2 ,501
(812)
(75)
1 ,614
1 4,199
0.11"
