Particulars,As at and for the,As at and for the Financial Year ended,,
,nine months period,"March 31, 2025","March 31, 2024","March 31, 2023"
,"ended December 31,",,,
,2025,,,
"Earnings per equity share (nominal
value of ₹ 10) (nine months ended earning
per share not annualised)",,,,
Basic (₹),16.59,10.93,1.45,2.12
Diluted (₹),16.35,10.82,1.39,2.04
Profit for the period/year (in ₹ million),714.98,470.45,58.78,85.73
Total equity (in ₹ million),"4,104.80","3,033.81","1,241.22","1,150.25"
Net Worth (in ₹ million),"4,112.28","3,038.76","1,244.29","1,152.18"
RoNW (%),17.39%*,15.48%,4.72%,7.44%
"Net Asset Value per Equity Share of face
value ₹10 each (in ₹)",94.02,71.57,30.57,28.45
EBITDA (in ₹ million),"1,610.71","1,250.68",831.24,542.40
