Right of use assets,,,,,
Buildings,"1,349.8","1,574.9","1,463.9","1,182.6",905.1
Total,"1,349.8","1,574.9","1,463.9","1,182.6",9 05.1
Lease liabilities,,,,,
-Current,325.0,3 53.8,373.9,267.2,281.6
-Non Current,"1,289.5","1,461.3","1,353.9","1,144.7",874.2
Total,"1,614.5","1,815.1","1,727.8","1,411.9","1,155.8"
Opening beginning of the period / year,"1,727.8","1,411.9","1,411.9","1,155.8","1,178.0"
Addition to the Lease liabilities during the period / year,393.7,589.9,702.9,650.4,293.8
Deletion to the Lease liabilities during the period / year,(314.1),(4.6),(13.0),(58.2),(20.1)
Interest accrued during the period / year,87.2,87.8,185.5,161.9,149.1
Payments of lease liabilities,(280.1),(269.9),(559.5),(498.0),(445.0)
Closing at the end of the period / year,"1,614.5","1,815.1","1,727.8","1,411.9","1,155.8"
