Particulars,"As at September 30, 2024",,
,"Present value of
obligation","Fair value of plan
asset",Net amount
Opening Balance,476.1,395.0,81.1
Current service cost,30.5,-,30.5
Interest on asset,17.5,7.9,9 .6
Total amount recognised in Profit and Loss,48.0,7.9,40.1
"Return on plan assets, excluding amounts included in interest
expense/(income)",-,(3.7),3 .7
(Gain)/loss from change in demographic assumptions,( 4.0),-,( 4.0)
(Gain)/loss from change in financial assumptions,7 .0,-,7 .0
(Gain)/loss on account of experience changes,2 1.5,-,2 1.5
Total amount recognised in Other Comprehensive Income,2 4.5,( 3.7),2 8.2
Employer Contributions,-,81.1,(81.1)
Benefit Payments,(38.4),(38.4),-
Liabilities assumed/Asset acquired,-,-,-
Closing Balance,510.2,441.9,68.3
Particulars,"As at March 31, 2024",,
,"Present value of
obligation","Fair value of plan
asset",Net amount
Opening Balance,422.5,374.7,47.8
Current service cost,45.8,-,45.8
Interest on asset,26.1,23.6,2 .5
Total amount recognised in Profit and Loss,71.9,23.6,48.3
"Return on plan assets, excluding amounts included in interest
expense/(income)",-,2.0,(2.0)
(Gain)/loss from change in demographic assumptions,( 2.9),-,( 2.9)
(Gain)/loss from change in financial assumptions,6 .7,-,6.7
(Gain)/loss on account of experience changes,3 1.0,-,31.0
Total amount recognised in Other Comprehensive Income,3 4.8,2 .0,32.8
Employer Contributions,,47.8,(47.8)
Benefit Payments,(38.2),(38.2),-
Liabilities assumed/Asset acquired,(14.9),(14.9),-
Closing Balance,476.1,395.0,81.1
