Particulars,,"As of six-months periods ended September 30,",,,,
,,2025,,,2024,
,,(₹ in million),,,,
Indirect tax matters disputed by our Company,2.8,,,168.3,,
Employee related matter,40.5,,,40.5,,
Performance bank guarantee,100.0,,,100.0,,
Financial bank guarantee,0.5,,,-,,
Total,143.8,,,308.8,,
