Particulars,,Six-months periods ended,,,,,Financial Year,,,,,,,,
,,"September 30,",,,,,,,,,,,,,
,,2025,,,2024,,,2025,,,2024,,,2023,
Revenue from operations (₹ in million),"29,493.8",,,"24,582.0",,,"49,773.3",,,"37,582.3",,,"28,373.5",,
"Revenue from operations as a percentage of our total income
(in %)",100%,,,100%,,,99.9%,,,99.9%,,,100.0%,,
"Management fees from mutual fund operations, AIF, PMS and fees
from advisory services (net of goods and service tax) (₹ in million)","27,329.5",,,"21,869.3",,,"46,827.8",,,"33,759.0",,,"26,891.8",,
"Management fees from mutual fund operations, AIF, PMS and fees
from advisory services (net of goods and service tax) as a
percentage of our revenue from operations (in %)",92.7%,,,89.0%,,,94.0%,,,89.8%,,,94.8%,,
"Income from interest, dividend, net gain on fair value changes (₹
in million)","2,164.3",,,"2,712.7",,,"2,945.5",,,"3,823.3",,,"1,481.7",,
"Income from interest, dividend, net gain on fair value changes as a
percentage of our revenue from operations (in %)",7.3%,,,11.0%,,,5.9%,,,10.1%,,,5.2%,,
