"Principal amount due to suppliers registered under the
MSMED Act and remaining unpaid as at period/ year end",7.4,7.0,8.1,5.0,0.2
"Interest due to suppliers registered under the MSMED Act
and remaining unpaid as at period / year end",-,-,-,-,-
"Principal amount paid to suppliers registered under the
MSMED Act, beyond the appointed day during the period /
year",-,-,-,-,-
"Interest paid, other than under Section 16 of MSMED Act, to
suppliers registered under the MSMED Act, beyond the
appointed day during the period / year",-,-,-,-,-
"Interest paid, under Section 16 of MSMED Act, to suppliers
registered under the MSMED Act, beyond the appointed day
during the period / year",-,-,-,-,-
"Interest due and payable towards suppliers registered under
MSMED Act, for payments already made.",-,-,-,-,-
"Further interest remaining due and payable for earlier period
/ years",-,-,-,-,-
Opening balance,33.5,33.5,33.5,33.5,33.5
Changes during the period / year,-,-,-,-,-
Closing balance,33.5,33.5,33.5,33.5,33.5
Opening balance,8.7,8 .7,8.7,8.7,8.7
Changes during the period / year,-,-,-,-,-
Closing balance,8.7,8.7,8.7,8 .7,8.7
Opening balance,"1 ,023.4","1,023.4","1,023.4","1 ,023.4","1,023.4"
Changes during the period / year,-,-,-,-,-
Closing balance,"1,023.4","1 ,023.4","1,023.4","1,023.4","1,023.4"
Opening balance,1 03.0,103.0,103.0,1 03.0,103.0
Changes during the period / year,-,-,-,-,-
Closing balance,103.0,1 03.0,103.0,103.0,103.0
