At FVTPL,,,,,
Mutual funds units,"31,552.7","22,019.9","24,854.0","19,255.5","13,967.2"
Debt Securities,"1 ,000.9","3 ,578.6","2 ,793.6","4 ,496.2","5,906.3"
Equity instruments,211.3,215.2,213.6,215.2,215.2
Alternative Investment Fund,"4 ,566.2","4 ,540.3","4 ,461.0","4 ,323.6","2,322.2"
Venture Capital Fund,-,-,-,-,11.6
Real Estate Investment Trust (REIT),611.5,565.1,529.7,535.7,452.4
Total,"37,942.6","30,919.1","32,851.9","28,826.2","22,874.9"
(i) Investments outside India,-,-,-,-,-
(ii) Investments in India,"37,942.6","30,919.1","32,851.9","28,826.2","22,874.9"
Total,"37,942.6","30,919.1","32,851.9","28,826.2","22,874.9"
Trade payables,"1,843.4","1,389.2","1,591.9","1,090.5",718.0
Trade payable to related parties,1 58.7,156.0,161.6,125.2,128.2
Total,"2,002.1","1,545.2","1,753.5","1,215.7",846.2
Employee benefits payable,"2,204.2","2,072.4","2,655.0","2,301.0","1,761.3"
Other Payable,350.0,-,233.9,46.0,-
Lease liabilities (refer note 33),"1,614.5","1,815.1","1,727.8","1,411.9","1,155.8"
Total,"4,168.7","3,887.5","4,616.7","3,758.9","2,917.1"
Provision for Income Tax (Net of Advance tax and TDS),589.1,807.6,197.9,152.5,118.2
Total,589.1,807.6,197.9,152.5,118.2
Provision for employee benefits,,,,,
"Provision for compensated absence
(refer note 32- (a))",157.1,112.7,128.4,107.4,89.3
"Provision for Gratuity (refer note 32-
(c))",8 4.0,68.3,112.8,81.1,47.8
Total,241.1,181.0,241.2,188.5,137.1
Opening balance,6 64.4,664.4,664.4,6 64.4,664.4
Employee stock option expense,-,-,-,-,-
Closing balance,664.4,6 64.4,664.4,664.4,664.4
Opening Balance,"33,159.9","26,818.9","2 6,818.9","21,121.1","1 8,164.7"
Add: Profit for the period / year,"16,177.4","1 3,271.1","26,506.6","20,497.3","15,157.8"
Less: Interim Dividend,"(12,091.7)","(9,355.6)","( 20,123.4)","(14,774.8)","(12,197.6)"
Add: Other Comprehensive Income,(39.5),(21.1),(42.2),(24.7),(3.8)
Closing Balance,"37,206.1","30,713.3","3 3,159.9","26,818.9","2 1,121.1"
