Prepayments - Commission,445.5,746.0,596.2,910.0,753.5
Prepayments - Others,334.1,252.5,359.4,269.8,215.9
Advance to suppliers,79.0,45.7,46.8,35.3,64.3
GST Input tax credit,240.0,143.2,188.4,104.1,88.1
Statutory dues recoverable,5.5,70.7,5.5,70.7,69.9
Total,"1,104.1","1,258.1","1,196.3","1,389.9","1,191.7"
Fair value of financial instruments,"1,035.0",935.5,849.8,582.6,202.9
Total,"1,035.0",935.5,849.8,582.6,202.9
Statutory dues payable,"1,011.5",865.2,992.0,785.7,659.6
Deferred Revenue,1 0.3,22.6,16.3,28.6,35.9
Total,"1,021.8",887.8,"1,008.3",814.3,695.5
Securities Premium Reserve,33.5,33.5,33.5,33.5,33.5
Capital Redemption Reserve,8.7,8 .7,8.7,8.7,8.7
General Reserve,"1 ,023.4","1,023.4","1,023.4","1 ,023.4","1,023.4"
Contingency Reserve,1 03.0,103.0,103.0,1 03.0,103.0
Share Options Outstanding Account,6 64.4,664.4,664.4,6 64.4,664.4
Retained Earnings,"37,206.1","3 0,713.3","33,159.9","26,818.9","21,121.1"
Total reserves and surplus,"39,039.1","32,546.3","3 4,992.9","28,651.9","2 2,954.1"
