"CWIP Ageing Schedule As at
September 30, 2025",Amount in CWIP for a period of,,,,Total
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
Projects in progress,108.6,-,-,-,1 08.6
Projects temporarily suspended,-,-,-,-,-
"CWIP Ageing Schedule As at
March 31, 2025",Amount in CWIP for a period of,,,,Total
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
Projects in progress,"2,841.4",-,-,-,"2,841.4"
Projects temporarily suspended,-,-,-,-,-
"Intangible assets under
development ageing schedule As
at September 30, 2025","Amount in Intangible Assets under Development for
a period of",,,,Total
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
Projects in progress,38.3,2.6,-,-,40.9
Projects temporarily suspended,-,-,-,-,-
"Intangible assets under
development ageing schedule As
at March 31, 2025","Amount in Intangible Assets under Development for
a period of",,,,Total
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
Projects in progress,45.6,-,-,-,45.6
Projects temporarily suspended,-,-,-,-,-
