Balances with Banks in current account,72.5,367.3,1 54.4,2 31.1,3 14.5
Total,72.5,367.3,154.4,231.1,314.5
At Amortised Cost,,,,,
(A) Loans,,,,,
Staff Loans,2.2,2.1,2.4,2.6,1.9
Total - Gross,2 .2,2 .1,2 .4,2 .6,1 .9
Less:Impairment loss allowance,-,-,-,-,-
Total - Net,2 .2,2 .1,2 .4,2 .6,1 .9
(B) (i) Secured by tangible assets,-,-,-,-,-
(ii)Secured by intangible assets,-,-,-,-,-
(iii) Covered by Bank/Government Guarantees,-,-,-,-,-
Unsecured,2.2,2.1,2.4,2.6,1.9
Total Gross,2 .2,2 .1,2 .4,2 .6,1 .9
Less: Impairment loss allowance,,,-,-,-
Total Net,2 .2,2 .1,2 .4,2 .6,1 .9
(C) (I) Loans in India,,,,,
(i) Public Sector,,,-,-,-
(ii) Others,2.2,2.1,2.4,2.6,1.9
Total (C)(I)- Gross,2 .2,2 .1,2 .4,2 .6,1 .9
Less: Impairment loss allowance,,,-,-,-
Total(C)(I) -Net,2 .2,2 .1,2 .4,2 .6,1 .9
(C) (II)Loans outside India,-,-,-,-,-
Less: Impairment loss allowance,-,-,-,-,-
Total (C) (II)- Net,-,-,-,-,-
Total C(I) and C(II),2 .2,2 .1,2 .4,2 .6,1 .9
