Ratios,Numerator,Denominator,"September
30, 2024","%
Variance"
"(a) Capital to risk-weighted assets ratio
(CRAR)*",-,-,-,-
(b) Tier I CRAR*,-,-,-,-
(c) Tier II CRAR *,-,-,-,-
(d) Liquidity Coverage Ratio (no.of times),"13,520.4","4,864.2",2.78,( 14.6)
"[Total Financial Assets (within 12
months)/Total Liabilities (within 12 months)]
This has decreased as Financial liabilities
balances increased, which are maturing
within 12 months from the reporting date",,,,
Ratios,Numerator,Denominator,"March 31,
2024","%
Variance"
"(a) Capital to risk-weighted assets ratio
(CRAR)*",-,-,-,-
(b) Tier I CRAR*,-,-,-,-
(c) Tier II CRAR *,-,-,-,-
(d) Liquidity Coverage Ratio (no.of times),"12,557.1","3,857.4",3.26,2.3
"[Total Financial Assets (within 12
months)/Total Liabilities (within 12 months)]
This has increased as Financial asset
balances and specifically, investments which
are maturing within 12 months from the
reporting date",,,,
