"Shares held by promoters at the end of the period September 30, 2025",,,"% Change during
the period"
Promoter name,No. of Shares,% of total shares,
ICICI Bank Limited,"9 ,00,25,730",51%,-
Prudential Corporation Holdings Limited,"8 ,64,95,170",49%,-
Total,"17,65,20,900",100%,
"Shares held by promoters at the end of the year March 31, 2025",,,"% Change during
the year"
Promoter name,No. of Shares,% of total shares,
ICICI Bank Limited,"9 0,02,573",51%,-
Prudential Corporation Holdings Limited,"8 6,49,517",49%,-
Total,"1 ,76,52,090",100%,
