Particulars,"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Working Capital sanctioned demand loan
limit (unsecured)",,,,,
HDFC Bank,3500,3500,3500.00,3500.00,8500.00
Axis Bank,2000,2000,2000.00,2000.00,2000.00
Bank of Baroda,2000,-,-,-,-
State Bank of India,18000,-,-,-,-
Short term loan sanctioned limit (unsecured),,,,,
ICICI Bank,500,500,500.00,500.00,500.00
"Sanctioned limit on overdraft facility
secured against fixed deposits from Indian
Bank, Canara Bank, State Bankof India &
Union bank of India",5660.00,-,2952.41,-,-
