,"Amount in Capital work in Progress as at September 30, 2025",,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",Total
Projects in progress:,,,,,
"Building (including water supply, roads and
culverts)",481.50,4 31.80,"1 ,414.10","1 ,003.30","3,330.70"
Plant and Equipment,"1,123.10","1 ,027.80","1 ,363.10",9 31.30,"4,445.30"
Railway Sidings,106.10,"1 ,230.40",6 43.60,7 80.90,"2,761.00"
Other Mining infrastructure/Development,"1,196.30",9 02.00,9 19.20,"2 ,732.90","5,750.40"
Rail Corridor under Construction,-,-,-,-,-
Solar Project,347.10,"1 ,223.20",8 54.80,-,"2,425.10"
Others,-,-,-,-,-
Projects temporarily suspended:,,,,,
Kapuria Block,,,,65.00,65.00
Total,"3,254.10","4 ,815.20","5 ,194.80","5 ,513.40","18,777.50"
