,"Amount in Capital work in Progress as at March 31, 2024",,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",Total
Projects in progress:,,,,,
"Building (including water supply, roads and
culverts)",451.90,5 20.10,2 39.50,"2 ,842.90","4,054.40"
Plant and Equipment,"1,030.20",7 77.90,5 26.90,6 69.80,"3,004.80"
Railway Sidings,"1,513.60",4 39.50,4 23.90,1 91.60,"2,568.60"
Other Mining infrastructure/Development,749.70,"1 ,266.00","1 ,178.00","1 ,056.60","4,250.30"
Rail Corridor under Construction,-,-,-,-,-
Solar Project,176.40,-,-,-,176.40
Others,-,-,-,-,-
Projects temporarily suspended:,,,,,
Kapuria Block,,,,65.00,65.00
Total,"3,921.80","3 ,003.50","2 ,368.30","4 ,825.90","14,119.50"
