Particulars,Unbilled Dues,Outstanding for following periods from transaction date,,,,,Total
,,"Less than 6
months",6 months 1 year,1-2 years,2-3 years,"More than
3 years",
(i) Undisputed Trade receivables – considered good,4089.10,7767.70,1045.90,303.80,99.30,1145.90,"14,451.70"
(ii) Undisputed Trade Receivables – which have significant increase in credit risk,,,,,,,-
(iii) Undisputed Trade Receivables – credit impaired,,,,,,,-
(iv) Disputed Trade Receivables– considered good,,,,,,39.00,39.00
(v) Disputed Trade Receivables– which have significant increase in credit risk,,,,,,,-
(vi) Disputed Trade Receivables – credit impaired,,,,,,,-
Total,"4,089.10","7,767.70","1 ,045.90",3 03.80,9 9.30,"1 ,184.90","14,490.70"
Allowance for expected credit loss,,,,,,,-
Expected credit losses (Loss allowance provision) - %,,,,,,,
