Particulars,Reserves & Surplus,,,,,Total
,"Capital
Redemption
reserve",Capital Reserve,General Reserve,Retained Earnings,"OCI - Re-
measurement of
Defined Benefits
Plans (net of Tax)",
"Balance as at April 01, 2023",-,-,"1 ,409.90","(10,069.80)",128.90,"(8,531.00)"
Changes in accounting policy or prior period errors,,,,,,-
"Restated Balance as at April 01, 2023",-,-,"1,409.90","( 10,069.80)",1 28.90,"( 8,531.00)"
Total Comprehensive Income,,,,"15,644.60",(466.40),"1 5,178.20"
Transfers and Other Adjustments,,,,,,-
Interim Dividend,,,,,,-
Final Dividend,,,,,,-
Corporate Dividend tax,,,,,,-
Buy Back of Shares,,,,,,-
Tax on Buy back,,,,,,-
Issue of Bonus Shares,,,,,,-
"Balance as at March 31, 2024",-,-,"1,409.90","5,574.80",( 337.50),"6,647.20"
