Name,Designation,"Date (if joined/ceased during the financial
year)"
Shri Samiran Dutta,Chairman cum Managing Director,
Sri Debashish Nanda,Non-Executive Director; Government Nominee; Director (BD) CIL,
Sri Rakesh Kumar Sahay,Director (Finance),
Shri Sanjay Kumar Singh,Director (Technical/OP),
Sri Shankar Nagachari,Director (Technical/P&P) Additional charge,"Tenure Ended on January 27, 2025"
Sri Murlikrishna Ramaiah,Director (Personnel),
Shri Anandji Prasad,"Non-Executive Director (Project Advisor, MoC, Govt. Nominee)","Tenure Ended on January 20, 2025"
Smt. Shashi Singh,Independent Director,"Tenure Ended on October 31, 2024"
Shri Alok Kumar Agrawal,Independent Director,"Tenure Ended on October 31, 2024"
Shri Satyabrata Panda,Independent Director,"Tenure Ended on October 31, 2024"
Shri Ram Kumar Roy,Independent Director,"Tenure Ended on October 31, 2024"
Smt. Vismita Tej,"Non-Executive Director (Project Advisor, MoC, Govt. Nominee)","Joined on January 20, 2025"
Shri Manoj Kumar Agarwal,Director (Technical/P&P),"Joined on January 27, 2025"
Shri B.K. Parui,Company Secretary,
