"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
A,"Change in Defined Benefit Obligation
(DBO)",,,
1,DBO at end of prior period,"9,216.70","7,663.90","5,596.30"
2,Current service cost,"1,806.10","1,632.20","1,400.30"
3,Interest cost on the DBO,586.40,486.10,376.80
4,Curtailment (credit)/ cost,0.00,0.00,0.00
5,Settlement (credit)/ cost,0.00,0.00,0.00
6,Past service cost - plan amendments,0.00,888.90,0.00
7,Acquisitions (credit)/ cost,0.00,0.00,0.00
8,Actuarial (gain)/loss - experience,"(1,004.00)",335.40,723.60
9,"Actuarial (gain)/loss - demographic
assumptions",0.00,0.00,0.00
10,"Actuarial (gain)/loss - financial
assumptions",307.10,220.50,(322.00)
11,Benefits paid directly by the Company,0.00,0.00,0.00
12,Benefits paid from plan assets,"(1,679.60)","(2,010.20)",(111.00)
13,DBO at end of current period,"9,232.70","9,216.70","7,663.90"
