Particulars,"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at March 31,
2023"
Less than One Year,,,,,
Between one and two years,,,,,
Between two and three years,,,,,
Between three and four years,,,,,
Between four and five years,,,,,
More than five years,,,,,
Total,,,,,
