Particulars,Unbilled Dues,Outstanding for following periods from transaction date,,,,,Total
,,"Less than 6
months",6 months 1 year,1-2 years,2-3 years,"More than
3 years",
(i) Undisputed Trade receivables – considered good,3436.10,11303.70,737.90,1230.50,645.30,1085.10,"18,438.60"
(ii) Undisputed Trade Receivables – which have significant increase in credit risk,,,,,,,-
(iii) Undisputed Trade Receivables – credit impaired,,,,,,,-
(iv) Disputed Trade Receivables– considered good,,,,,,39.00,39.00
(v) Disputed Trade Receivables– which have significant increase in credit risk,,,,,,,-
(vi) Disputed Trade Receivables – credit impaired,,,,,,,-
Total,"3,436.10","11,303.70",7 37.90,"1 ,230.50",6 45.30,"1 ,124.10","18,477.60"
Allowance for expected credit loss,,,,,,,-
Expected credit losses (Loss allowance provision) - %,,,,,,,
