Particulars,Unbilled Dues,Outstanding for following periods from transaction date,,,,,Total
,,"Less than 6
months",6 months 1 year,1-2 years,2-3 years,"More than
3 years",
(i) Undisputed Trade receivables – considered good,3625.20,14496.80,472.20,367.70,1216.00,1808.30,"21,986.20"
(ii) Undisputed Trade Receivables – which have significant increase in credit risk,,,,,,,-
(iii) Undisputed Trade Receivables – credit impaired,,,,,,,-
(iv) Disputed Trade Receivables– considered good,,,,,,39.00,39.00
(v) Disputed Trade Receivables– which have significant increase in credit risk,,,,,,,-
(vi) Disputed Trade Receivables – credit impaired,,,,,,,-
Total,"3,625.20","14,496.80",4 72.20,3 67.70,"1 ,216.00","1 ,847.30","22,025.20"
Allowance for expected credit loss,,,,,,,-
Expected credit losses (Loss allowance provision) - %,,,,,,,
